Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,0.1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D3, D4, D5, D6, D7, D8, D9",Diode_SOD-123,19,Diode,
"LED1, LED2, LED3, LED4, LED5, LED6",LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,6,SK6812,
R1,0805,1,10k,
"S1, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S7, S8, S9",SW_Cherry_MX_1.00u_PCB,15,Keyswitch,
"S10, S17",SW_Cherry_MX_PCB_2.00u_90deg,2,Keyswitch,
S18,SW_Cherry_MX_PCB_1.00u,1,Keyswitch,
S19,SW_Cherry_MX_PCB_2.00u,1,Keyswitch,
U1,KB2040,1,~,
U2,SOT-23-5_HandSoldering,1,74AHCT1G125,
