Designator,Mid X,Mid Y,Rotation,Layer
C1,124.2975,-56.93125,180.0,top
D1,52.06625,-55.34375,270.0,top
D10,113.97875,-93.44375,270.0,top
D11,52.06625,-112.49375,270.0,top
D12,70.3225,-112.49375,270.0,top
D13,89.3725,-112.49375,270.0,top
D14,52.06625,-131.54375,270.0,top
D15,70.3225,-131.54375,270.0,top
D16,89.3725,-131.54375,270.0,top
D17,113.97875,-131.54375,270.0,top
D18,89.3725,-150.59375,270.0,top
D19,60.7975,-150.59375,270.0,top
D2,70.3225,-55.34375,270.0,top
D3,52.06625,-74.39375,270.0,top
D4,70.3225,-74.39375,270.0,top
D5,89.3725,-74.39375,270.0,top
D6,108.4225,-74.39375,270.0,top
D7,52.06625,-93.44375,270.0,top
D8,70.3225,-93.44375,270.0,top
D9,89.3725,-93.44375,270.0,top
LED1,110.1475,-88.75,90.0,bottom
LED2,110.1475,-119.25,90.0,bottom
LED3,105.6475,-144.25,90.0,bottom
LED4,68.1475,-144.25,90.0,bottom
LED5,66.6475,-126.25,270.0,bottom
LED6,67.1475,-88.75,90.0,bottom
R1,115.56625,-61.10625,270.0,top
S1,60.48,-60.9,0.0,top
S10,117.63,-108.525,0.0,top
S11,60.48,-118.05,0.0,top
S12,79.53,-118.05,0.0,top
S13,98.58,-118.05,0.0,top
S14,60.48,-137.1,0.0,top
S15,79.53,-137.1,0.0,top
S16,98.58,-137.1,0.0,top
S17,117.63,-146.625,0.0,top
S18,98.58,-156.15,0.0,top
S19,70.005,-156.15,0.0,top
S2,79.53,-60.9,0.0,top
S3,60.48,-79.95,0.0,top
S4,79.53,-79.95,0.0,top
S5,98.58,-79.95,0.0,top
S6,117.63,-79.95,0.0,top
S7,60.48,-99.0,0.0,top
S8,79.53,-99.0,0.0,top
S9,98.58,-99.0,0.0,top
U1,112.97875,-60.3125,90.0,bottom
U2,124.2975,-61.69375,180.0,top
